id,position,employer,date,location,href
4388348,Consulting - Capability Network - IT Strategy Analyst,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-it-strategy-analyst-warszawa,oferta,4388348"
4388378,Consulting - Capability Network - Strategy Analyst – Transformation & Strategic PMO,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-strategy-analyst-transformation-strategic-pmo-warszawa,oferta,4388378"
4388393,"Consulting - Capability Network - Business Analyst in Oil & Gas, Utilities, Chemicals or Mining Industry",Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-business-analyst-in-oil-gas-utilities-chemicals-or-warszawa,oferta,4388393"
4388404,Consulting - Capability Network - Capital Markets Analyst - Investment Banking,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-capital-markets-analyst-investment-banking-warszawa,oferta,4388404"
4388419,Consulting - Capability Network - Financial Risk Management Analyst,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-financial-risk-management-analyst-warszawa,oferta,4388419"
4388453,Consulting - Capability Network - Banking Industry Analyst - CRM / Digital / Banking Processes Specialist,Accenture,2016-02-06,"Warszawa, mazowieckie","/praca/consulting-capability-network-banking-industry-analyst-crm-digital-banking-proce-warszawa,oferta,4388453"
4367028,Analityk Biznesowy,JIT Solutions Sp. z o.o.,2016-02-06,pomorskie,"/praca/analityk-biznesowy-pomorskie,oferta,4367028"
4356582,Analityk / Projektant systemów IT,Bank BPH S.A.,2016-02-06,"Kraków, ma³opolskie","/praca/analityk-projektant-systemow-it-krakow,oferta,4356582"
4356583,Analityk / Projektant systemów IT,Bank BPH S.A.,2016-02-06,"Gdañsk, pomorskie","/praca/analityk-projektant-systemow-it-gdansk,oferta,4356583"
4350323,Analityk Biznesowy,Inicjatywa Mikro,2016-02-06,"Kraków, ma³opolskie","/praca/analityk-biznesowy-krakow,oferta,4350323"
4384025,Analityk Sprzeda¿y,PLAY,2016-02-06,"Warszawa, mazowieckie","/praca/analityk-sprzedazy-warszawa,oferta,4384025"
4373907,Analityk ds. Finansów Nieruchomoœci,Tesco Polska,2016-02-06,"Kraków, ma³opolskie","/praca/analityk-ds-finansow-nieruchomosci-krakow,oferta,4373907"
4359298,Data Scientist,Advisory Group TEST Human Resources,2016-02-05,"Kraków, ma³opolskie","/praca/data-scientist-krakow,oferta,4359298"
4350918,Data Scientist,Experis IT Warszawa,2016-02-05,"Kraków, ma³opolskie","/praca/data-scientist-krakow,oferta,4350918"
4355146,Big Data Systems Engineer,Advisory Group TEST Human Resources,2016-02-05,"Kraków, ma³opolskie","/praca/big-data-engineer-krakow,oferta,4355146"
4337673,Big Data Engineer,Experis IT Warszawa,2016-02-05,"Warszawa, mazowieckie","/praca/big-data-engineer-warszawa,oferta,4337673"
4382201,In¿ynier Big Data,Samsung R&D Institute Poland,2016-02-05,"Warszawa, mazowieckie","/praca/inzynier-big-data-warszawa,oferta,4382201"
4395357,Web Analyst,IT KONTRAKT,2016-02-05,"Poznañ, wielkopolskie","/praca/web-analyst-poznan,oferta,4395357"
4393575,Web Analyst,AUCHAN E COMMERCE POLSKA SP Z O O,2016-02-05,"Piaseczno, mazowieckie","/praca/web-analyst-piaseczno,oferta,4393575"
4364505,Group and Regional Management Accounting & Reporting Analyst,HEINEKEN Global Shared Services,2016-02-05,"Kraków, ma³opolskie","/praca/group-and-regional-management-accounting-reporting-analyst-krakow,oferta,4364505"
